"Date","Pitches","PA","AB","Hits","BB%","BA","ha","walks"
"2024-07-20",32,5,2,0,60,0,0,3
"2024-05-18",29,6,4,0,33.3,0,0,2
"2024-07-07",26,5,4,0,20,0,0,1
"2024-07-22",25,5,5,1,0,0.2,0.2,0
"2024-07-23",22,4,4,2,0,0.5,0.5,0
"2024-09-17",22,6,4,0,16.7,0,0,1
"2024-09-21",22,5,5,1,0,0.2,0.2,0
"2024-06-18",22,4,3,0,25,0,0,1
"2024-04-24",22,5,4,0,20,0,0,1
"2024-09-03",22,5,4,1,20,0.25,0.2,1
"2024-09-08",21,5,5,2,0,0.4,0.4,0
"2024-08-15",21,5,5,2,0,0.4,0.4,0
"2024-09-01",21,5,4,0,20,0,0,1
"2024-09-22",20,5,4,2,20,0.5,0.4,1
"2024-06-19",20,4,4,0,0,0,0,0
"2024-08-03",20,4,4,1,0,0.25,0.25,0
"2024-08-17",20,4,4,1,0,0.25,0.25,0
"2024-07-21",19,4,4,1,0,0.25,0.25,0
"2024-03-28",19,5,4,0,20,0,0,1
"2024-05-28",18,4,4,0,0,0,0,0
"2024-06-21",18,4,4,1,0,0.25,0.25,0
"2024-06-04",18,4,4,1,0,0.25,0.25,0
"2024-04-05",18,5,3,3,40,1,0.6,2
"2024-05-14",18,5,5,0,0,0,0,0
"2024-07-24",18,5,3,1,40,0.333,0.2,2
"2024-06-03",17,4,3,2,25,0.667,0.5,1
"2024-08-20",17,4,4,0,0,0,0,0
"2024-04-25",17,4,4,2,0,0.5,0.5,0
"2024-04-06",17,5,5,2,0,0.4,0.4,0
"2024-08-16",17,5,5,1,0,0.2,0.2,0
"2024-08-18",17,5,5,3,0,0.6,0.6,0
"2024-05-17",17,4,4,1,0,0.25,0.25,0
"2024-05-19",16,4,4,1,0,0.25,0.25,0
"2024-03-30",16,5,4,2,20,0.5,0.4,1
"2024-06-17",16,4,3,0,25,0,0,1
"2024-05-15",16,4,4,1,0,0.25,0.25,0
"2024-08-04",16,4,3,0,25,0,0,1
"2024-08-07",16,5,5,2,0,0.4,0.4,0
"2024-06-08",16,4,3,0,25,0,0,1
"2024-07-03",16,5,5,0,0,0,0,0
"2024-07-02",16,5,5,1,0,0.2,0.2,0
"2024-09-02",15,5,5,0,0,0,0,0
"2024-08-30",15,5,4,0,20,0,0,1
"2024-09-05",15,4,4,2,0,0.5,0.5,0
"2024-04-30",15,5,5,2,0,0.4,0.4,0
"2024-04-11",15,4,3,0,25,0,0,1
"2024-05-01",15,5,5,1,0,0.2,0.2,0
"2024-04-26",15,4,4,1,0,0.25,0.25,0
"2024-06-05",14,4,3,1,25,0.333,0.25,1
"2024-06-07",14,4,4,1,0,0.25,0.25,0
"2024-08-06",14,4,2,0,50,0,0,2
"2024-09-06",14,4,4,1,0,0.25,0.25,0
"2024-08-02",13,4,4,1,0,0.25,0.25,0
"2024-09-07",13,4,4,1,0,0.25,0.25,0
"2024-08-19",13,4,4,2,0,0.5,0.5,0
"2024-05-13",13,4,4,1,0,0.25,0.25,0
"2024-08-05",13,4,4,1,0,0.25,0.25,0
"2024-09-20",13,4,4,0,0,0,0,0
"2024-04-08",13,5,4,0,20,0,0,1
"2024-05-02",13,4,4,1,0,0.25,0.25,0
"2024-04-28",13,4,4,0,0,0,0,0
"2024-09-19",12,4,4,0,0,0,0,0
"2024-03-31",11,5,5,2,0,0.4,0.4,0
"2024-08-21",11,4,3,0,25,0,0,1
"2024-07-25",11,4,4,2,0,0.5,0.5,0
"2024-07-05",11,4,4,1,0,0.25,0.25,0
"2024-09-18",11,4,4,1,0,0.25,0.25,0
"2024-06-23",11,5,5,1,0,0.2,0.2,0
"2024-04-10",11,4,4,2,0,0.5,0.5,0
"2024-04-23",10,4,4,0,0,0,0,0
"2024-08-31",9,4,4,1,0,0.25,0.25,0
"2024-07-06",9,4,3,1,25,0.333,0.25,1
"2024-04-27",9,3,2,0,33.3,0,0,1
"2024-04-07",8,4,4,0,0,0,0,0
"2024-04-09",8,4,4,2,0,0.5,0.5,0
"2024-06-22",7,4,4,1,0,0.25,0.25,0
"2024-06-09",7,4,3,1,0,0.333,0.25,0
"2024-07-19",6,3,3,1,0,0.333,0.333,0
